"Day ","Items ","Note ","Amount "
"63","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"63","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","4189"
"63","Rental Expense","Cash Payment - Rental - New York","4020"
"63","Rental Expense","Cash Payment - Rental - Miami","4200"
"63","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1708"
"63","Rental Expense","Cash Payment - Rental - Detroit","1000"
"63","Rental Expense","Cash Payment - Rental - Chicago","1480"
"63","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","504"
"63","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"63","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"62","Human Resource Expense","Attended Training","15000"
"62","Human Resource Expense","Counselled","2000"
"62","Human Resource Expense","Counselled","2000"
"62","Human Resource Expense","Counselled","2000"
"62","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"62","Salary Expense","Cash Payment - Salary Expense","38210"
"62","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10727","29"
"62","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10734","4"
"62","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"62","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3328"
"62","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"62","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","4331"
"62","Rental Expense","Cash Payment - Rental - New York","4020"
"62","Rental Expense","Cash Payment - Rental - Miami","4200"
"62","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1736"
"62","Rental Expense","Cash Payment - Rental - Detroit","1000"
"62","Rental Expense","Cash Payment - Rental - Chicago","1480"
"62","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","504"
"62","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"62","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"61","Human Resource Expense","Attended Training","15000"
"61","Human Resource Expense","Counselled","2000"
"61","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"61","Salary Expense","Cash Payment - Salary Expense","37728"
"61","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10530","37"
"61","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"61","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3392"
"61","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"61","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","4544"
"61","Rental Expense","Cash Payment - Rental - New York","4020"
"61","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","2718"
"61","Rental Expense","Cash Payment - Rental - Miami","3000"
"61","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1820"
"61","Rental Expense","Cash Payment - Rental - Detroit","1000"
"61","Rental Expense","Cash Payment - Rental - Chicago","1480"
"61","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","576"
"61","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"61","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"60","Salary Expense","Cash Payment - Salary Expense","36936"
"60","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10321","35"
"60","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10328","46"
"60","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"60","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"60","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3456"
"60","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"60","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","4686"
"60","Rental Expense","Cash Payment - Rental - New York","4020"
"60","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","2763"
"60","Rental Expense","Cash Payment - Rental - Miami","3000"
"60","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1820"
"60","Rental Expense","Cash Payment - Rental - Detroit","1000"
"60","Rental Expense","Cash Payment - Rental - Chicago","1480"
"60","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","576"
"60","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"60","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"59","Salary Expense","Cash Payment - Salary Expense","36856"
"59","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 10146","37"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 378","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 381","15000"
"59","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 384","15000"
"59","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"59","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3552"
"59","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"59","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","4828"
"59","Rental Expense","Cash Payment - Rental - New York","4020"
"59","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","2781"
"59","Rental Expense","Cash Payment - Rental - Miami","3000"
"59","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1904"
"59","Rental Expense","Cash Payment - Rental - Detroit","1000"
"59","Rental Expense","Cash Payment - Rental - Chicago","1480"
"59","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","576"
"59","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"59","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"58","Human Resource Expense","Counselled","2000"
"58","Human Resource Expense","Attended Training","15000"
"58","Human Resource Expense","Attended Training","15000"
"58","Salary Expense","Cash Payment - Salary Expense","36776"
"58","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 387","15000"
"58","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"58","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3648"
"58","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"58","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","5041"
"58","Rental Expense","Cash Payment - Rental - New York","4020"
"58","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1620"
"58","Rental Expense","Cash Payment - Rental - Miami","3000"
"58","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1932"
"58","Rental Expense","Cash Payment - Rental - Detroit","1000"
"58","Rental Expense","Cash Payment - Rental - Chicago","1480"
"58","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","648"
"58","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"58","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"57","Human Resource Expense","Attended Training","15000"
"57","Human Resource Expense","Attended Training","15000"
"57","Human Resource Expense","Counselled","2000"
"57","Human Resource Expense","Counselled","2000"
"57","Human Resource Expense","Counselled","2000"
"57","Salary Expense","Cash Payment - Salary Expense","36776"
"57","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8943","5"
"57","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8944","7"
"57","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8947","4"
"57","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9706","50"
"57","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"57","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"57","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","3872"
"57","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"57","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","5751"
"57","Rental Expense","Cash Payment - Rental - New York","4020"
"57","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","2586"
"57","Rental Expense","Cash Payment - Rental - Miami","3000"
"57","Rental Expense","Cash Payment - Rental - Detroit","1000"
"57","Rental Expense","Cash Payment - Rental - Chicago","1480"
"57","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","792"
"57","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"57","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"56","Salary Expense","Cash Payment - Salary Expense","36668"
"56","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"56","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"56","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","4096"
"56","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"56","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","6248"
"56","Rental Expense","Cash Payment - Rental - New York","4020"
"56","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","2592"
"56","Rental Expense","Cash Payment - Rental - Miami","3000"
"56","Rental Expense","Cash Payment - Rental - Detroit","1000"
"56","Rental Expense","Cash Payment - Rental - Chicago","1480"
"56","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","864"
"56","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"56","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"55","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"55","Human Resource Expense","Counselled","2000"
"55","Human Resource Expense","Counselled","2000"
"55","Human Resource Expense","Counselled","2000"
"55","Salary Expense","Cash Payment - Salary Expense","36647"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9278","37"
"55","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 9290","21"
"55","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"55","Depreciation Expense","Non-Cash Expense - Depreciation","43333"
"55","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","4320"
"55","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"55","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","6887"
"55","Rental Expense","Cash Payment - Rental - New York","4020"
"55","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1740"
"55","Rental Expense","Cash Payment - Rental - Miami","3000"
"55","Rental Expense","Cash Payment - Rental - Detroit","1000"
"55","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","164"
"55","Rental Expense","Cash Payment - Rental - Chicago","1480"
"55","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1008"
"55","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"55","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"54","Human Resource Expense","Counselled","2000"
"54","Human Resource Expense","Counselled","2000"
"54","Human Resource Expense","Counselled","2000"
"54","Human Resource Expense","Counselled","2000"
"54","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"54","Human Resource Expense","Attended Training","15000"
"54","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"54","Human Resource Expense","Cash Payment - Staff Recruiting - Production","30000"
"54","Human Resource Expense","Counselled","2000"
"54","Salary Expense","Cash Payment - Salary Expense","35905"
"54","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8940","27"
"54","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"54","Depreciation Expense","Non-Cash Expense - Depreciation","38333"
"54","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","4544"
"54","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"54","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","7455"
"54","Rental Expense","Cash Payment - Rental - New York","4020"
"54","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1368"
"54","Rental Expense","Cash Payment - Rental - Miami","3000"
"54","Rental Expense","Cash Payment - Rental - Detroit","1000"
"54","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","492"
"54","Rental Expense","Cash Payment - Rental - Chicago","1480"
"54","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1152"
"54","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"54","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"53","Salary Expense","Cash Payment - Salary Expense","33784"
"53","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"53","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","4640"
"53","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"53","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","7668"
"53","Rental Expense","Cash Payment - Rental - New York","4020"
"53","Rental Expense","Cash Payment - Rental - Miami","3000"
"53","Rental Expense","Cash Payment - Rental - Detroit","1000"
"53","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","533"
"53","Rental Expense","Cash Payment - Rental - Chicago","1480"
"53","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1152"
"53","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"53","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"52","Salary Expense","Cash Payment - Salary Expense","33746"
"52","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"52","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","928"
"52","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"52","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","7810"
"52","Rental Expense","Cash Payment - Rental - New York","4020"
"52","Rental Expense","Cash Payment - Rental - Miami","3000"
"52","Rental Expense","Cash Payment - Rental - Detroit","1000"
"52","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","615"
"52","Rental Expense","Cash Payment - Rental - Chicago","1480"
"52","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1224"
"52","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"52","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"51","Salary Expense","Cash Payment - Salary Expense","33286"
"51","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8374","36"
"51","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8381","12"
"51","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8565","9"
"51","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"51","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","928"
"51","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"51","Rental Expense","Cash Payment - Rental - New York","4020"
"51","Rental Expense","Cash Payment - Rental - Miami","3000"
"51","Rental Expense","Cash Payment - Rental - Detroit","1000"
"51","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","697"
"51","Rental Expense","Cash Payment - Rental - Chicago","1480"
"51","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1224"
"51","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"51","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"50","Salary Expense","Cash Payment - Salary Expense","32530"
"50","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8385","5"
"50","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8388","3"
"50","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"50","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"50","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1024"
"50","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"50","Rental Expense","Cash Payment - Rental - New York","4020"
"50","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","486"
"50","Rental Expense","Cash Payment - Rental - Miami","3000"
"50","Rental Expense","Cash Payment - Rental - Detroit","1000"
"50","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","779"
"50","Rental Expense","Cash Payment - Rental - Chicago","1480"
"50","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1296"
"50","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"50","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"49","Human Resource Expense","Attended Training","15000"
"49","Human Resource Expense","Counselled","2000"
"49","Human Resource Expense","Counselled","2000"
"49","Salary Expense","Cash Payment - Salary Expense","32454"
"49","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"49","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"49","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1088"
"49","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"49","Rental Expense","Cash Payment - Rental - New York","4020"
"49","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1362"
"49","Rental Expense","Cash Payment - Rental - Miami","3000"
"49","Rental Expense","Cash Payment - Rental - Detroit","1000"
"49","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","861"
"49","Rental Expense","Cash Payment - Rental - Chicago","1480"
"49","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1368"
"49","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"49","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"48","Salary Expense","Cash Payment - Salary Expense","32378"
"48","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6475","19"
"48","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8006","131"
"48","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 8011","51"
"48","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"48","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"48","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1152"
"48","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"48","Rental Expense","Cash Payment - Rental - New York","4020"
"48","Rental Expense","Cash Payment - Rental - Miami","3000"
"48","Rental Expense","Cash Payment - Rental - Detroit","1000"
"48","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","943"
"48","Rental Expense","Cash Payment - Rental - Chicago","1480"
"48","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1368"
"48","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"48","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"47","Salary Expense","Cash Payment - Salary Expense","32378"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7822","91"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7834","38"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7840","16"
"47","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 7846","106"
"47","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"47","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"47","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1216"
"47","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"47","Rental Expense","Cash Payment - Rental - New York","4020"
"47","Rental Expense","Cash Payment - Rental - Miami","3000"
"47","Rental Expense","Cash Payment - Rental - Detroit","1000"
"47","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1025"
"47","Rental Expense","Cash Payment - Rental - Chicago","1480"
"47","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1368"
"47","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"47","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"46","Human Resource Expense","Attended Training","15000"
"46","Human Resource Expense","Attended Training","15000"
"46","Human Resource Expense","Counselled","2000"
"46","Salary Expense","Cash Payment - Salary Expense","32270"
"46","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"46","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1344"
"46","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"46","Rental Expense","Cash Payment - Rental - New York","4020"
"46","Rental Expense","Cash Payment - Rental - Miami","3000"
"46","Rental Expense","Cash Payment - Rental - Detroit","1000"
"46","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1148"
"46","Rental Expense","Cash Payment - Rental - Chicago","1480"
"46","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1440"
"46","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"46","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"45","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"45","Salary Expense","Cash Payment - Salary Expense","32250"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6477","175"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6481","258"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6488","202"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6490","255"
"45","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6678","151"
"45","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"45","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"45","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","1472"
"45","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"45","Rental Expense","Cash Payment - Rental - New York","4020"
"45","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","735"
"45","Rental Expense","Cash Payment - Rental - Miami","3000"
"45","Rental Expense","Cash Payment - Rental - Detroit","1000"
"45","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1271"
"45","Rental Expense","Cash Payment - Rental - Chicago","1480"
"45","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1512"
"45","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"45","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"44","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"44","Salary Expense","Cash Payment - Salary Expense","32210"
"44","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"44","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"44","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"44","Rental Expense","Cash Payment - Rental - New York","4020"
"44","Rental Expense","Cash Payment - Rental - Miami","3000"
"44","Rental Expense","Cash Payment - Rental - Detroit","1000"
"44","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1435"
"44","Rental Expense","Cash Payment - Rental - Chicago","1480"
"44","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1512"
"44","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"44","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"43","Human Resource Expense","Counselled","2000"
"43","Human Resource Expense","Counselled","2000"
"43","Human Resource Expense","Counselled","2000"
"43","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"43","Salary Expense","Cash Payment - Salary Expense","32190"
"43","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"43","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"43","Rental Expense","Cash Payment - Rental - New York","4020"
"43","Rental Expense","Cash Payment - Rental - Miami","3000"
"43","Rental Expense","Cash Payment - Rental - Detroit","1000"
"43","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1558"
"43","Rental Expense","Cash Payment - Rental - Chicago","1480"
"43","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1584"
"43","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"43","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"42","Salary Expense","Cash Payment - Salary Expense","32154"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6496","11"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6505","165"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6513","143"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6517","281"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6549","209"
"42","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6683","105"
"42","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"42","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"42","Rental Expense","Cash Payment - Rental - New York","4020"
"42","Rental Expense","Cash Payment - Rental - Miami","3000"
"42","Rental Expense","Cash Payment - Rental - Detroit","1000"
"42","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1722"
"42","Rental Expense","Cash Payment - Rental - Chicago","1480"
"42","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1728"
"42","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"42","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"41","Human Resource Expense","Counselled","2000"
"41","Salary Expense","Cash Payment - Salary Expense","31716"
"41","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6102","134"
"41","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6115","212"
"41","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 6687","242"
"41","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"41","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"41","Rental Expense","Cash Payment - Rental - New York","4020"
"41","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1197"
"41","Rental Expense","Cash Payment - Rental - Miami","3000"
"41","Rental Expense","Cash Payment - Rental - Detroit","1000"
"41","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1845"
"41","Rental Expense","Cash Payment - Rental - Chicago","1480"
"41","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Washington, D.C.","1728"
"41","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"41","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"40","Human Resource Expense","Counselled","2000"
"40","Human Resource Expense","Attended Training","15000"
"40","Human Resource Expense","Counselled","2000"
"40","Salary Expense","Cash Payment - Salary Expense","30996"
"40","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 340","15000"
"40","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"40","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"40","Rental Expense","Cash Payment - Rental - New York","4020"
"40","Rental Expense","Cash Payment - Rental - Miami","3000"
"40","Rental Expense","Cash Payment - Rental - Detroit","1000"
"40","Rental Expense","Cash Payment - Rental - Chicago","1480"
"40","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"40","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"39","Human Resource Expense","Counselled","2000"
"39","Human Resource Expense","Attended Training","15000"
"39","Human Resource Expense","Counselled","2000"
"39","Human Resource Expense","Attended Training","15000"
"39","Salary Expense","Cash Payment - Salary Expense","30924"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 368","15000"
"39","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 371","15000"
"39","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"39","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"39","Rental Expense","Cash Payment - Rental - New York","4020"
"39","Overflow Expense - Warehouse","Cash Payment - Overflow Fee - Miami","1086"
"39","Rental Expense","Cash Payment - Rental - Miami","3000"
"39","Rental Expense","Cash Payment - Rental - Detroit","1000"
"39","Rental Expense","Cash Payment - Rental - Chicago","1480"
"39","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"39","Rental Expense","Cash Payment - Rental - San Francisco","2240"
"38","Salary Expense","Cash Payment - Salary Expense","30852"
"38","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 365","15000"
"38","Depreciation Expense","Non-Cash Expense - Depreciation","23333"
"38","Rental Expense","Cash Payment - Rental - Los Angeles","1080"
"38","Rental Expense","Cash Payment - Rental - New York","4020"
